extracao_timestamp,linha,id_linha,sentido,prefixo_onibus,timestamp_onibus,latitude,longitude,temperatura,umidade,clima_descricao
20260613_172405,342C-10,33770,2,47078,2026-06-13T20:23:34Z,-23.564768,-46.4947705,20.13,84,nublado
20260613_172405,342C-10,33770,2,47600,2026-06-13T20:23:41Z,-23.54011525,-46.51618425,20.13,84,nublado
20260613_172405,5752-10,34055,2,68521,2026-06-13T20:23:52Z,-23.689408999999998,-46.6492585,20.13,84,nublado
20260613_172405,5752-10,34055,2,68563,2026-06-13T20:23:50Z,-23.68231925,-46.652084125,20.13,84,nublado
20260613_172405,5752-10,34055,2,68565,2026-06-13T20:23:49Z,-23.674471,-46.662462000000005,20.13,84,nublado
20260613_172405,2755-10,233,1,32211,2026-06-13T20:23:39Z,-23.525222749999998,-46.41828475,20.13,84,nublado
20260613_172405,2755-10,233,1,32045,2026-06-13T20:23:04Z,-23.5292943125,-46.554192812500006,20.13,84,nublado
20260613_172405,2755-10,233,1,32060,2026-06-13T20:24:02Z,-23.5231735,-46.533573000000004,20.13,84,nublado
20260613_172405,2755-10,233,1,32008,2026-06-13T20:24:01Z,-23.51513575,-46.4987845,20.13,84,nublado
20260613_172405,978T-10,33657,2,16717,2026-06-13T20:23:49Z,-23.461351,-46.6872735,20.13,84,nublado
20260613_172405,978T-10,33657,2,16614,2026-06-13T20:24:00Z,-23.529353,-46.677958000000004,20.13,84,nublado
20260613_172405,978T-10,33657,2,16261,2026-06-13T20:23:58Z,-23.461289,-46.6872475,20.13,84,nublado
20260613_172405,978T-10,33657,2,16709,2026-06-13T20:23:59Z,-23.50225575,-46.686184499999996,20.13,84,nublado
20260613_172405,978T-10,33657,2,16027,2026-06-13T20:23:26Z,-23.486565,-46.692606749999996,20.13,84,nublado
20260613_172405,978T-10,33657,2,16604,2026-06-13T20:23:57Z,-23.471181,-46.691973000000004,20.13,84,nublado
20260613_172405,978T-10,33657,2,16751,2026-06-13T20:23:28Z,-23.501545999999998,-46.6907545,20.13,84,nublado
20260613_172405,978T-10,33657,2,16013,2026-06-13T20:23:25Z,-23.461351,-46.6872735,20.13,84,nublado
20260613_172405,978T-10,33657,2,16148,2026-06-13T20:23:24Z,-23.52815725,-46.67998025,20.13,84,nublado
20260613_172405,978T-10,33657,2,16411,2026-06-13T20:24:00Z,-23.525567000000002,-46.671713999999994,20.13,84,nublado
20260613_172405,978T-10,33657,2,16713,2026-06-13T20:23:31Z,-23.461351,-46.6872735,20.13,84,nublado
20260613_172405,978T-10,33657,2,16725,2026-06-13T20:23:30Z,-23.461289,-46.6872475,20.13,84,nublado
20260613_172405,978T-10,33657,2,16524,2026-06-13T20:23:38Z,-23.461289,-46.6872475,20.13,84,nublado
20260613_172405,978T-10,33657,2,16431,2026-06-13T20:23:58Z,-23.525703999999998,-46.6824535,20.13,84,nublado
20260613_172405,2028-10,35031,2,22147,2026-06-13T20:23:38Z,-23.439324,-46.579002,20.13,84,nublado
20260613_172405,2028-10,35031,2,22085,2026-06-13T20:24:02Z,-23.480196,-46.602474,20.13,84,nublado
20260613_172405,2028-10,35031,2,22039,2026-06-13T20:23:54Z,-23.435529000000002,-46.57144649999999,20.13,84,nublado
20260613_172405,746P-10,788,1,85833,2026-06-13T20:23:24Z,-23.6197245,-46.723444,20.13,84,nublado
20260613_172405,746P-10,788,1,85846,2026-06-13T20:23:59Z,-23.649455,-46.70642,20.13,84,nublado
20260613_172405,746P-10,788,1,85852,2026-06-13T20:23:39Z,-23.618279,-46.731673,20.13,84,nublado
20260613_172405,746P-10,788,1,85840,2026-06-13T20:23:40Z,-23.64464325,-46.727139,20.13,84,nublado
20260613_172405,746P-10,788,1,85884,2026-06-13T20:23:40Z,-23.6373245,-46.736935,20.13,84,nublado
20260613_172405,3134-10,33761,2,45079,2026-06-13T20:24:02Z,-23.579203000000003,-46.54156325,20.13,84,nublado
20260613_172405,3134-10,33761,2,45506,2026-06-13T20:23:31Z,-23.5836385,-46.5845555,20.13,84,nublado
20260613_172405,3134-10,33761,2,45533,2026-06-13T20:23:51Z,-23.5759225,-46.51530625,20.13,84,nublado
20260613_172405,3134-10,33761,2,45481,2026-06-13T20:23:48Z,-23.593899,-46.58225350000001,20.13,84,nublado
20260613_172405,647A-10,34083,2,75415,2026-06-13T20:23:48Z,-23.6401245,-46.746552,20.13,84,nublado
20260613_172405,647A-10,34083,2,75416,2026-06-13T20:23:44Z,-23.6700145,-46.7771665,20.13,84,nublado
20260613_172405,647A-10,34083,2,75458,2026-06-13T20:23:31Z,-23.646112000000002,-46.755938,20.13,84,nublado
20260613_172405,647A-10,34083,2,75422,2026-06-13T20:23:44Z,-23.606398125,-46.725315875,20.13,84,nublado
20260613_172405,647A-10,34083,2,75419,2026-06-13T20:23:26Z,-23.666964,-46.77318075,20.13,84,nublado
20260613_172405,647A-10,34083,2,75417,2026-06-13T20:23:26Z,-23.696893000000003,-46.7927635,20.13,84,nublado
20260613_172405,647A-10,34083,2,75459,2026-06-13T20:23:27Z,-23.64251,-46.736504,20.13,84,nublado
20260613_172405,647A-10,34083,2,75418,2026-06-13T20:23:28Z,-23.6392945,-46.743815999999995,20.13,84,nublado
20260613_172405,647A-10,34083,2,75444,2026-06-13T20:23:27Z,-23.6930195,-46.7977425,20.13,84,nublado
20260613_172405,9784-10,827,1,15225,2026-06-13T20:24:04Z,-23.506690499999998,-46.6692235,20.13,84,nublado
20260613_172405,9784-10,827,1,15189,2026-06-13T20:23:21Z,-23.52240875,-46.669006749999994,20.13,84,nublado
20260613_172405,9784-10,827,1,15164,2026-06-13T20:23:35Z,-23.4688205,-46.6674365,20.13,84,nublado
20260613_172405,9784-10,827,1,15265,2026-06-13T20:24:03Z,-23.458678749999997,-46.67508175,20.13,84,nublado
20260613_172405,9784-10,827,1,15163,2026-06-13T20:23:30Z,-23.4503535,-46.683854999999994,20.13,84,nublado
20260613_172405,9784-10,827,1,15264,2026-06-13T20:23:47Z,-23.4505015,-46.678377,20.13,84,nublado
20260613_172405,5031-10,34514,2,55503,2026-06-13T20:23:41Z,-23.61600225,-46.593427250000005,20.13,84,nublado
20260613_172405,5031-10,34514,2,55428,2026-06-13T20:23:25Z,-23.6365255,-46.5910045,20.13,84,nublado
20260613_172405,5031-10,34514,2,55204,2026-06-13T20:23:41Z,-23.622293499999998,-46.591708,20.13,84,nublado
20260613_172405,5031-10,34514,2,55035,2026-06-13T20:23:42Z,-23.634847,-46.591849999999994,20.13,84,nublado
20260613_172405,5031-10,34514,2,55107,2026-06-13T20:23:52Z,-23.623826,-46.591074000000006,20.13,84,nublado
20260613_172405,5031-10,34514,2,55120,2026-06-13T20:23:56Z,-23.6343605,-46.591129499999994,20.13,84,nublado
20260613_172405,5031-10,34514,2,55316,2026-06-13T20:24:03Z,-23.602927,-46.6027465,20.13,84,nublado
20260613_172405,5031-10,34514,2,55200,2026-06-13T20:23:38Z,-23.602927,-46.6027465,20.13,84,nublado
20260613_172405,2728-10,943,1,45217,2026-06-13T20:24:00Z,-23.5014245,-46.512783,20.13,84,nublado
